With a healthy child, income, neighborhood, peers and teachers should be filtered through a responsible parent(s).	I think the correlation is there, but to say 100% is too much of an absolute.	0	14
A child who struggles in earnest or intentionally slacks off is a direct reflection of parenting.	I don't know man, raising a child is hard.	0	4
A child who struggles in earnest or intentionally slacks off is a direct reflection of parenting.	You are leaving out so many factors.	0	5
A child who struggles in earnest or intentionally slacks off is a direct reflection of parenting.	On top of all of that what about the child that does well despite a parents shittiness?	0	11
A child who struggles in earnest or intentionally slacks off is a direct reflection of parenting.	I think the correlation is there, but to say 100% is too much of an absolute.	0	13
I am curious regarding potential for more public accountability held to parents who fail to direct their child.	I don't know man, raising a child is hard.	0	3
I am curious regarding potential for more public accountability held to parents who fail to direct their child.	You are leaving out so many factors.	0	4
I am curious regarding potential for more public accountability held to parents who fail to direct their child.	On top of all of that what about the child that does well despite a parents shittiness?	0	10
I am curious regarding potential for more public accountability held to parents who fail to direct their child.	I think the correlation is there, but to say 100% is too much of an absolute.	0	12
maybe a monetary incentive derived from public tax coffers paid to parents of children who maintain a passing grade, to be withheld if child dips below	I don't know man, raising a child is hard.	0	2
maybe a monetary incentive derived from public tax coffers paid to parents of children who maintain a passing grade, to be withheld if child dips below	You are leaving out so many factors.	0	3
maybe a monetary incentive derived from public tax coffers paid to parents of children who maintain a passing grade, to be withheld if child dips below	On top of all of that what about the child that does well despite a parents shittiness?	0	9
maybe a monetary incentive derived from public tax coffers paid to parents of children who maintain a passing grade, to be withheld if child dips below	I think the correlation is there, but to say 100% is too much of an absolute.	0	11
I think parents are virtually 100% responsible for producing scholastically successful children	I don't know man, raising a child is hard.	0	1
I think parents are virtually 100% responsible for producing scholastically successful children	You are leaving out so many factors.	0	2
I think parents are virtually 100% responsible for producing scholastically successful children	On top of all of that what about the child that does well despite a parents shittiness?	0	8
I think parents are virtually 100% responsible for producing scholastically successful children	I think the correlation is there, but to say 100% is too much of an absolute.	0	10
I don't know man, raising a child is hard.	CMV: If a child struggles to achieve in grade school it is virtually always the parents' fault.	1	8
I don't know man, raising a child is hard.	IMO the knowledge and resource base for teaching said children is probably proportionate to the percentage they make up of the overall population	0	6
I don't know man, raising a child is hard.	A child who struggles in earnest or intentionally slacks off is a direct reflection of parenting.	0	4
I don't know man, raising a child is hard.	I am curious regarding potential for more public accountability held to parents who fail to direct their child.	0	3
I don't know man, raising a child is hard.	I think parents are virtually 100% responsible for producing scholastically successful children	0	1
I don't know man, raising a child is hard.	Why do some individuals call them excuses and others, motivation?	0	11
I don't know man, raising a child is hard.	Really most of your problems you presented can be counteracted	0	12
I don't know man, raising a child is hard.	even turned for benefit with a proper level of parental involvement.	0	13
I don't know man, raising a child is hard.	The last point about a shitty parent with a good student is, at first, a quandary.	0	16
You are leaving out so many factors.	CMV: If a child struggles to achieve in grade school it is virtually always the parents' fault.	1	9
You are leaving out so many factors.	IMO the knowledge and resource base for teaching said children is probably proportionate to the percentage they make up of the overall population	0	7
You are leaving out so many factors.	A child who struggles in earnest or intentionally slacks off is a direct reflection of parenting.	0	5
You are leaving out so many factors.	I am curious regarding potential for more public accountability held to parents who fail to direct their child.	0	4
You are leaving out so many factors.	I think parents are virtually 100% responsible for producing scholastically successful children	0	2
You are leaving out so many factors.	Why do some individuals call them excuses and others, motivation?	0	10
You are leaving out so many factors.	Really most of your problems you presented can be counteracted	0	11
You are leaving out so many factors.	even turned for benefit with a proper level of parental involvement.	0	12
You are leaving out so many factors.	The last point about a shitty parent with a good student is, at first, a quandary.	0	15
-What about a one parent household?	CMV: If a child struggles to achieve in grade school it is virtually always the parents' fault.	0	10
-What about a one parent household?	IMO the knowledge and resource base for teaching said children is probably proportionate to the percentage they make up of the overall population	0	8
-What about a one parent household?	A child who struggles in earnest or intentionally slacks off is a direct reflection of parenting.	0	6
-What about a one parent household?	I am curious regarding potential for more public accountability held to parents who fail to direct their child.	0	5
-What about a one parent household?	I think parents are virtually 100% responsible for producing scholastically successful children	0	3
-What about a one parent household?	Why do some individuals call them excuses and others, motivation?	0	9
-What about a one parent household?	Really most of your problems you presented can be counteracted	0	10
-What about a one parent household?	even turned for benefit with a proper level of parental involvement.	0	11
-What about a one parent household?	The last point about a shitty parent with a good student is, at first, a quandary.	0	14
-What is the state of the school?	CMV: If a child struggles to achieve in grade school it is virtually always the parents' fault.	0	11
-What is the state of the school?	IMO the knowledge and resource base for teaching said children is probably proportionate to the percentage they make up of the overall population	0	9
-What is the state of the school?	A child who struggles in earnest or intentionally slacks off is a direct reflection of parenting.	0	7
-What is the state of the school?	I am curious regarding potential for more public accountability held to parents who fail to direct their child.	0	6
-What is the state of the school?	I think parents are virtually 100% responsible for producing scholastically successful children	0	4
-What is the state of the school?	Why do some individuals call them excuses and others, motivation?	0	8
-What is the state of the school?	Really most of your problems you presented can be counteracted	0	9
-What is the state of the school?	even turned for benefit with a proper level of parental involvement.	0	10
-What is the state of the school?	The last point about a shitty parent with a good student is, at first, a quandary.	0	13
Is this an unfunded, understaffed, inner city school?	CMV: If a child struggles to achieve in grade school it is virtually always the parents' fault.	0	12
Is this an unfunded, understaffed, inner city school?	IMO the knowledge and resource base for teaching said children is probably proportionate to the percentage they make up of the overall population	0	10
Is this an unfunded, understaffed, inner city school?	A child who struggles in earnest or intentionally slacks off is a direct reflection of parenting.	0	8
Is this an unfunded, understaffed, inner city school?	I am curious regarding potential for more public accountability held to parents who fail to direct their child.	0	7
Is this an unfunded, understaffed, inner city school?	I think parents are virtually 100% responsible for producing scholastically successful children	0	5
Is this an unfunded, understaffed, inner city school?	Why do some individuals call them excuses and others, motivation?	0	7
Is this an unfunded, understaffed, inner city school?	Really most of your problems you presented can be counteracted	0	8
Is this an unfunded, understaffed, inner city school?	even turned for benefit with a proper level of parental involvement.	0	9
Is this an unfunded, understaffed, inner city school?	The last point about a shitty parent with a good student is, at first, a quandary.	0	12
-What if the child is being bullied/abused without the parents knowledge?	CMV: If a child struggles to achieve in grade school it is virtually always the parents' fault.	0	13
-What if the child is being bullied/abused without the parents knowledge?	IMO the knowledge and resource base for teaching said children is probably proportionate to the percentage they make up of the overall population	0	11
-What if the child is being bullied/abused without the parents knowledge?	A child who struggles in earnest or intentionally slacks off is a direct reflection of parenting.	0	9
-What if the child is being bullied/abused without the parents knowledge?	I am curious regarding potential for more public accountability held to parents who fail to direct their child.	0	8
-What if the child is being bullied/abused without the parents knowledge?	I think parents are virtually 100% responsible for producing scholastically successful children	0	6
-What if the child is being bullied/abused without the parents knowledge?	Why do some individuals call them excuses and others, motivation?	0	6
-What if the child is being bullied/abused without the parents knowledge?	Really most of your problems you presented can be counteracted	0	7
-What if the child is being bullied/abused without the parents knowledge?	even turned for benefit with a proper level of parental involvement.	0	8
-What if the child is being bullied/abused without the parents knowledge?	The last point about a shitty parent with a good student is, at first, a quandary.	0	11
-Does this child have other, non LD problems(i.e. emotional, gender-identity)?	CMV: If a child struggles to achieve in grade school it is virtually always the parents' fault.	0	14
-Does this child have other, non LD problems(i.e. emotional, gender-identity)?	IMO the knowledge and resource base for teaching said children is probably proportionate to the percentage they make up of the overall population	0	12
-Does this child have other, non LD problems(i.e. emotional, gender-identity)?	A child who struggles in earnest or intentionally slacks off is a direct reflection of parenting.	0	10
-Does this child have other, non LD problems(i.e. emotional, gender-identity)?	I am curious regarding potential for more public accountability held to parents who fail to direct their child.	0	9
-Does this child have other, non LD problems(i.e. emotional, gender-identity)?	I think parents are virtually 100% responsible for producing scholastically successful children	0	7
-Does this child have other, non LD problems(i.e. emotional, gender-identity)?	Why do some individuals call them excuses and others, motivation?	0	5
-Does this child have other, non LD problems(i.e. emotional, gender-identity)?	Really most of your problems you presented can be counteracted	0	6
-Does this child have other, non LD problems(i.e. emotional, gender-identity)?	even turned for benefit with a proper level of parental involvement.	0	7
-Does this child have other, non LD problems(i.e. emotional, gender-identity)?	The last point about a shitty parent with a good student is, at first, a quandary.	0	10
On top of all of that what about the child that does well despite a parents shittiness?	CMV: If a child struggles to achieve in grade school it is virtually always the parents' fault.	0	15
On top of all of that what about the child that does well despite a parents shittiness?	IMO the knowledge and resource base for teaching said children is probably proportionate to the percentage they make up of the overall population	0	13
On top of all of that what about the child that does well despite a parents shittiness?	A child who struggles in earnest or intentionally slacks off is a direct reflection of parenting.	0	11
On top of all of that what about the child that does well despite a parents shittiness?	I am curious regarding potential for more public accountability held to parents who fail to direct their child.	0	10
On top of all of that what about the child that does well despite a parents shittiness?	I think parents are virtually 100% responsible for producing scholastically successful children	1	8
On top of all of that what about the child that does well despite a parents shittiness?	Why do some individuals call them excuses and others, motivation?	0	4
On top of all of that what about the child that does well despite a parents shittiness?	Really most of your problems you presented can be counteracted	0	5
On top of all of that what about the child that does well despite a parents shittiness?	even turned for benefit with a proper level of parental involvement.	0	6
On top of all of that what about the child that does well despite a parents shittiness?	The last point about a shitty parent with a good student is, at first, a quandary.	0	9
Do those parents receive your proposed monetary incentive?	CMV: If a child struggles to achieve in grade school it is virtually always the parents' fault.	0	16
Do those parents receive your proposed monetary incentive?	IMO the knowledge and resource base for teaching said children is probably proportionate to the percentage they make up of the overall population	0	14
Do those parents receive your proposed monetary incentive?	A child who struggles in earnest or intentionally slacks off is a direct reflection of parenting.	0	12
Do those parents receive your proposed monetary incentive?	I am curious regarding potential for more public accountability held to parents who fail to direct their child.	0	11
Do those parents receive your proposed monetary incentive?	I think parents are virtually 100% responsible for producing scholastically successful children	0	9
Do those parents receive your proposed monetary incentive?	Why do some individuals call them excuses and others, motivation?	0	3
Do those parents receive your proposed monetary incentive?	Really most of your problems you presented can be counteracted	0	4
Do those parents receive your proposed monetary incentive?	even turned for benefit with a proper level of parental involvement.	0	5
Do those parents receive your proposed monetary incentive?	The last point about a shitty parent with a good student is, at first, a quandary.	0	8
I think the correlation is there, but to say 100% is too much of an absolute.	CMV: If a child struggles to achieve in grade school it is virtually always the parents' fault.	0	17
I think the correlation is there, but to say 100% is too much of an absolute.	IMO the knowledge and resource base for teaching said children is probably proportionate to the percentage they make up of the overall population	0	15
I think the correlation is there, but to say 100% is too much of an absolute.	A child who struggles in earnest or intentionally slacks off is a direct reflection of parenting.	0	13
I think the correlation is there, but to say 100% is too much of an absolute.	I am curious regarding potential for more public accountability held to parents who fail to direct their child.	0	12
I think the correlation is there, but to say 100% is too much of an absolute.	I think parents are virtually 100% responsible for producing scholastically successful children	1	10
I think the correlation is there, but to say 100% is too much of an absolute.	Why do some individuals call them excuses and others, motivation?	0	2
I think the correlation is there, but to say 100% is too much of an absolute.	Really most of your problems you presented can be counteracted	0	3
I think the correlation is there, but to say 100% is too much of an absolute.	even turned for benefit with a proper level of parental involvement.	0	4
I think the correlation is there, but to say 100% is too much of an absolute.	The last point about a shitty parent with a good student is, at first, a quandary.	0	7
So what? Again, many children come from handicapped households.	CMV: If a child struggles to achieve in grade school it is virtually always the parents' fault.	0	18
So what? Again, many children come from handicapped households.	I don't know man, raising a child is hard.	0	10
So what? Again, many children come from handicapped households.	You are leaving out so many factors.	0	9
So what? Again, many children come from handicapped households.	On top of all of that what about the child that does well despite a parents shittiness?	0	3
So what? Again, many children come from handicapped households.	I think the correlation is there, but to say 100% is too much of an absolute.	0	1
Why do some individuals call them excuses and others, motivation?	CMV: If a child struggles to achieve in grade school it is virtually always the parents' fault.	0	19
Why do some individuals call them excuses and others, motivation?	I don't know man, raising a child is hard.	0	11
Why do some individuals call them excuses and others, motivation?	You are leaving out so many factors.	1	10
Why do some individuals call them excuses and others, motivation?	On top of all of that what about the child that does well despite a parents shittiness?	0	4
Why do some individuals call them excuses and others, motivation?	I think the correlation is there, but to say 100% is too much of an absolute.	0	2
Really most of your problems you presented can be counteracted	CMV: If a child struggles to achieve in grade school it is virtually always the parents' fault.	0	20
Really most of your problems you presented can be counteracted	I don't know man, raising a child is hard.	0	12
Really most of your problems you presented can be counteracted	You are leaving out so many factors.	1	11
Really most of your problems you presented can be counteracted	On top of all of that what about the child that does well despite a parents shittiness?	0	5
Really most of your problems you presented can be counteracted	I think the correlation is there, but to say 100% is too much of an absolute.	0	3
even turned for benefit with a proper level of parental involvement.	CMV: If a child struggles to achieve in grade school it is virtually always the parents' fault.	0	21
even turned for benefit with a proper level of parental involvement.	I don't know man, raising a child is hard.	0	13
even turned for benefit with a proper level of parental involvement.	You are leaving out so many factors.	1	12
even turned for benefit with a proper level of parental involvement.	On top of all of that what about the child that does well despite a parents shittiness?	0	6
even turned for benefit with a proper level of parental involvement.	I think the correlation is there, but to say 100% is too much of an absolute.	0	4
I subscribe to the idea that there is no such thing as too much parenting.	CMV: If a child struggles to achieve in grade school it is virtually always the parents' fault.	0	22
I subscribe to the idea that there is no such thing as too much parenting.	I don't know man, raising a child is hard.	0	14
I subscribe to the idea that there is no such thing as too much parenting.	You are leaving out so many factors.	0	13
I subscribe to the idea that there is no such thing as too much parenting.	On top of all of that what about the child that does well despite a parents shittiness?	0	7
I subscribe to the idea that there is no such thing as too much parenting.	I think the correlation is there, but to say 100% is too much of an absolute.	0	5
Of course, with more involvement comes more responsibility to surgically manage involvement, emotions, rewards and punishments.	CMV: If a child struggles to achieve in grade school it is virtually always the parents' fault.	0	23
Of course, with more involvement comes more responsibility to surgically manage involvement, emotions, rewards and punishments.	I don't know man, raising a child is hard.	0	15
Of course, with more involvement comes more responsibility to surgically manage involvement, emotions, rewards and punishments.	You are leaving out so many factors.	0	14
Of course, with more involvement comes more responsibility to surgically manage involvement, emotions, rewards and punishments.	On top of all of that what about the child that does well despite a parents shittiness?	0	8
Of course, with more involvement comes more responsibility to surgically manage involvement, emotions, rewards and punishments.	I think the correlation is there, but to say 100% is too much of an absolute.	0	6
The last point about a shitty parent with a good student is, at first, a quandary.	CMV: If a child struggles to achieve in grade school it is virtually always the parents' fault.	0	24
The last point about a shitty parent with a good student is, at first, a quandary.	I don't know man, raising a child is hard.	0	16
The last point about a shitty parent with a good student is, at first, a quandary.	You are leaving out so many factors.	0	15
The last point about a shitty parent with a good student is, at first, a quandary.	On top of all of that what about the child that does well despite a parents shittiness?	1	9
The last point about a shitty parent with a good student is, at first, a quandary.	I think the correlation is there, but to say 100% is too much of an absolute.	0	7
After building in requirements for parents to attend a weekly P/T meeting and/or more,	CMV: If a child struggles to achieve in grade school it is virtually always the parents' fault.	0	25
After building in requirements for parents to attend a weekly P/T meeting and/or more,	I don't know man, raising a child is hard.	0	17
After building in requirements for parents to attend a weekly P/T meeting and/or more,	You are leaving out so many factors.	0	16
After building in requirements for parents to attend a weekly P/T meeting and/or more,	On top of all of that what about the child that does well despite a parents shittiness?	0	10
After building in requirements for parents to attend a weekly P/T meeting and/or more,	I think the correlation is there, but to say 100% is too much of an absolute.	0	8
I think we could minimize the amount of shitty parents getting paid,	CMV: If a child struggles to achieve in grade school it is virtually always the parents' fault.	0	26
I think we could minimize the amount of shitty parents getting paid,	I don't know man, raising a child is hard.	0	18
I think we could minimize the amount of shitty parents getting paid,	You are leaving out so many factors.	0	17
I think we could minimize the amount of shitty parents getting paid,	On top of all of that what about the child that does well despite a parents shittiness?	0	11
I think we could minimize the amount of shitty parents getting paid,	I think the correlation is there, but to say 100% is too much of an absolute.	0	9
instead deposit that money into a trust for the student, paid upon graduation.	CMV: If a child struggles to achieve in grade school it is virtually always the parents' fault.	0	27
instead deposit that money into a trust for the student, paid upon graduation.	I don't know man, raising a child is hard.	0	19
instead deposit that money into a trust for the student, paid upon graduation.	You are leaving out so many factors.	0	18
instead deposit that money into a trust for the student, paid upon graduation.	On top of all of that what about the child that does well despite a parents shittiness?	0	12
instead deposit that money into a trust for the student, paid upon graduation.	I think the correlation is there, but to say 100% is too much of an absolute.	0	10
CMV: Assuming there is no afterlife, then life is ultimately meaningless and pointless because we die.	once you die, it is as if none of it ever happened	0	35
CMV: Assuming there is no afterlife, then life is ultimately meaningless and pointless because we die.	So to YOU, there is, then, no meaning	0	36
there is no afterlife	You make your own purpose in life	0	32
there is no afterlife	The only way your life lacks meaning is if you give it none to begin with	0	33
life is ultimately meaningless and pointless	You make your own purpose in life	0	31
life is ultimately meaningless and pointless	The only way your life lacks meaning is if you give it none to begin with	0	32
we die	You make your own purpose in life	0	30
we die	The only way your life lacks meaning is if you give it none to begin with	0	31
Death is the great eraser	You make your own purpose in life	0	29
Death is the great eraser	The only way your life lacks meaning is if you give it none to begin with	0	30
Living life is as irrational as reading a book that, after finished, is immediately erased from your memory	You make your own purpose in life	0	28
Living life is as irrational as reading a book that, after finished, is immediately erased from your memory	The only way your life lacks meaning is if you give it none to begin with	0	29
It is comparable to that, too	You make your own purpose in life	0	27
It is comparable to that, too	The only way your life lacks meaning is if you give it none to begin with	0	28
It makes no difference if I, a 23 year old, die now or live until I am 100 and die	You make your own purpose in life	0	26
It makes no difference if I, a 23 year old, die now or live until I am 100 and die	The only way your life lacks meaning is if you give it none to begin with	0	27
Either way, after my brief spark of existence I become nothingness	You make your own purpose in life	0	25
Either way, after my brief spark of existence I become nothingness	The only way your life lacks meaning is if you give it none to begin with	0	26
Not only do I remember nothing; I AM nothing	You make your own purpose in life	0	24
Not only do I remember nothing; I AM nothing	The only way your life lacks meaning is if you give it none to begin with	0	25
To me, it is as if my life had never happened	You make your own purpose in life	0	23
To me, it is as if my life had never happened	The only way your life lacks meaning is if you give it none to begin with	0	24
Imagine the time before you were born	You make your own purpose in life	0	22
Imagine the time before you were born	The only way your life lacks meaning is if you give it none to begin with	0	23
Of course not	You make your own purpose in life	0	21
Of course not	The only way your life lacks meaning is if you give it none to begin with	0	22
You didn't exist	You make your own purpose in life	0	20
You didn't exist	The only way your life lacks meaning is if you give it none to begin with	0	21
This is the state that we return to after death--a state of nothingness similar to the state we were in before birth	You make your own purpose in life	0	19
This is the state that we return to after death--a state of nothingness similar to the state we were in before birth	The only way your life lacks meaning is if you give it none to begin with	0	20
When I die, I return to this state after a brief period of consciousness	You make your own purpose in life	0	18
When I die, I return to this state after a brief period of consciousness	The only way your life lacks meaning is if you give it none to begin with	0	19
I return to it permanently	You make your own purpose in life	0	17
I return to it permanently	The only way your life lacks meaning is if you give it none to begin with	0	18
I might as well have never lived	You make your own purpose in life	0	16
I might as well have never lived	The only way your life lacks meaning is if you give it none to begin with	0	17
Helping others doesn't matter	You make your own purpose in life	0	15
Helping others doesn't matter	The only way your life lacks meaning is if you give it none to begin with	0	16
They will die too	You make your own purpose in life	0	14
They will die too	The only way your life lacks meaning is if you give it none to begin with	0	15
And then their descendants will die, on and on and on	You make your own purpose in life	0	13
And then their descendants will die, on and on and on	The only way your life lacks meaning is if you give it none to begin with	0	14
eventually the universe is destroyed or our galaxy collapses in an inevitable heat-death	You make your own purpose in life	0	12
eventually the universe is destroyed or our galaxy collapses in an inevitable heat-death	The only way your life lacks meaning is if you give it none to begin with	0	13
Even if 1,000,000 people were helped by me	You make your own purpose in life	0	11
Even if 1,000,000 people were helped by me	The only way your life lacks meaning is if you give it none to begin with	0	12
assuming they all die	You make your own purpose in life	0	10
assuming they all die	The only way your life lacks meaning is if you give it none to begin with	0	11
then my life is still pointless and meaningless	You make your own purpose in life	0	9
then my life is still pointless and meaningless	The only way your life lacks meaning is if you give it none to begin with	0	10
For I will be dead and won't know what I did	You make your own purpose in life	0	8
For I will be dead and won't know what I did	The only way your life lacks meaning is if you give it none to begin with	0	9
once they die, they won't know either	You make your own purpose in life	0	7
once they die, they won't know either	The only way your life lacks meaning is if you give it none to begin with	0	8
(2) Attaining fame doesn't matter and doesn't truly make me "immortal."	You make your own purpose in life	0	6
(2) Attaining fame doesn't matter and doesn't truly make me "immortal."	The only way your life lacks meaning is if you give it none to begin with	0	7
I'll be dead, and again, death is nothingness	You make your own purpose in life	0	5
I'll be dead, and again, death is nothingness	The only way your life lacks meaning is if you give it none to begin with	0	6
Thus, I won't be around to enjoy my fame	You make your own purpose in life	0	4
Thus, I won't be around to enjoy my fame	The only way your life lacks meaning is if you give it none to begin with	0	5
Enjoying the moment is possible	You make your own purpose in life	0	3
Enjoying the moment is possible	The only way your life lacks meaning is if you give it none to begin with	0	4
doesn't make life have a point	You make your own purpose in life	0	2
doesn't make life have a point	The only way your life lacks meaning is if you give it none to begin with	0	3
once I die, all memories and all point is gone	You make your own purpose in life	0	1
once I die, all memories and all point is gone	The only way your life lacks meaning is if you give it none to begin with	0	2
You make your own purpose in life	CMV: Assuming there is no afterlife, then life is ultimately meaningless and pointless because we die.	1	33
You make your own purpose in life	life is ultimately meaningless and pointless	1	31
You make your own purpose in life	Death is the great eraser	0	29
You make your own purpose in life	It makes no difference if I, a 23 year old, die now or live until I am 100 and die	0	26
You make your own purpose in life	Helping others doesn't matter	0	15
You make your own purpose in life	then my life is still pointless and meaningless	0	9
You make your own purpose in life	(2) Attaining fame doesn't matter and doesn't truly make me "immortal."	0	6
You make your own purpose in life	Enjoying the moment is possible	0	3
You make your own purpose in life	doesn't make life have a point	0	2
You make your own purpose in life	once you die, it is as if none of it ever happened	0	2
You make your own purpose in life	So to YOU, there is, then, no meaning	0	3
The only way your life lacks meaning is if you give it none to begin with	CMV: Assuming there is no afterlife, then life is ultimately meaningless and pointless because we die.	1	34
The only way your life lacks meaning is if you give it none to begin with	life is ultimately meaningless and pointless	1	32
The only way your life lacks meaning is if you give it none to begin with	Death is the great eraser	0	30
The only way your life lacks meaning is if you give it none to begin with	It makes no difference if I, a 23 year old, die now or live until I am 100 and die	0	27
The only way your life lacks meaning is if you give it none to begin with	Helping others doesn't matter	0	16
The only way your life lacks meaning is if you give it none to begin with	then my life is still pointless and meaningless	0	10
The only way your life lacks meaning is if you give it none to begin with	(2) Attaining fame doesn't matter and doesn't truly make me "immortal."	0	7
The only way your life lacks meaning is if you give it none to begin with	Enjoying the moment is possible	0	4
The only way your life lacks meaning is if you give it none to begin with	doesn't make life have a point	0	3
The only way your life lacks meaning is if you give it none to begin with	once you die, it is as if none of it ever happened	0	1
The only way your life lacks meaning is if you give it none to begin with	So to YOU, there is, then, no meaning	0	2
once you die, it is as if none of it ever happened	CMV: Assuming there is no afterlife, then life is ultimately meaningless and pointless because we die.	0	35
once you die, it is as if none of it ever happened	You make your own purpose in life	0	2
once you die, it is as if none of it ever happened	The only way your life lacks meaning is if you give it none to begin with	0	1
So to YOU, there is, then, no meaning	CMV: Assuming there is no afterlife, then life is ultimately meaningless and pointless because we die.	0	36
So to YOU, there is, then, no meaning	You make your own purpose in life	0	3
So to YOU, there is, then, no meaning	The only way your life lacks meaning is if you give it none to begin with	0	2
CMV: Assuming there is no afterlife, then life is ultimately meaningless and pointless because we die.	this view is supported by physics and what we know of it	0	42
there is no afterlife	What if time itself is an illusion, and we really do live forever?	0	32
there is no afterlife	"Now" is *the page you are reading at this moment*	0	37
there is no afterlife	just because there are pages you've already read, or pages you have yet to read, doesn't mean those pages don't exist	0	38
there is no afterlife	And all those pages will continue to exist, even after you've finished your book	0	39
life is ultimately meaningless and pointless	What if time itself is an illusion, and we really do live forever?	0	31
life is ultimately meaningless and pointless	"Now" is *the page you are reading at this moment*	0	36
life is ultimately meaningless and pointless	just because there are pages you've already read, or pages you have yet to read, doesn't mean those pages don't exist	0	37
life is ultimately meaningless and pointless	And all those pages will continue to exist, even after you've finished your book	0	38
we die	What if time itself is an illusion, and we really do live forever?	0	30
we die	"Now" is *the page you are reading at this moment*	0	35
we die	just because there are pages you've already read, or pages you have yet to read, doesn't mean those pages don't exist	0	36
we die	And all those pages will continue to exist, even after you've finished your book	0	37
Death is the great eraser	What if time itself is an illusion, and we really do live forever?	0	29
Death is the great eraser	"Now" is *the page you are reading at this moment*	0	34
Death is the great eraser	just because there are pages you've already read, or pages you have yet to read, doesn't mean those pages don't exist	0	35
Death is the great eraser	And all those pages will continue to exist, even after you've finished your book	0	36
Living life is as irrational as reading a book that, after finished, is immediately erased from your memory	What if time itself is an illusion, and we really do live forever?	0	28
Living life is as irrational as reading a book that, after finished, is immediately erased from your memory	"Now" is *the page you are reading at this moment*	0	33
Living life is as irrational as reading a book that, after finished, is immediately erased from your memory	just because there are pages you've already read, or pages you have yet to read, doesn't mean those pages don't exist	0	34
Living life is as irrational as reading a book that, after finished, is immediately erased from your memory	And all those pages will continue to exist, even after you've finished your book	0	35
It is comparable to that, too	What if time itself is an illusion, and we really do live forever?	0	27
It is comparable to that, too	"Now" is *the page you are reading at this moment*	0	32
It is comparable to that, too	just because there are pages you've already read, or pages you have yet to read, doesn't mean those pages don't exist	0	33
It is comparable to that, too	And all those pages will continue to exist, even after you've finished your book	0	34
It makes no difference if I, a 23 year old, die now or live until I am 100 and die	What if time itself is an illusion, and we really do live forever?	0	26
It makes no difference if I, a 23 year old, die now or live until I am 100 and die	"Now" is *the page you are reading at this moment*	0	31
It makes no difference if I, a 23 year old, die now or live until I am 100 and die	just because there are pages you've already read, or pages you have yet to read, doesn't mean those pages don't exist	0	32
It makes no difference if I, a 23 year old, die now or live until I am 100 and die	And all those pages will continue to exist, even after you've finished your book	0	33
Either way, after my brief spark of existence I become nothingness	What if time itself is an illusion, and we really do live forever?	0	25
Either way, after my brief spark of existence I become nothingness	"Now" is *the page you are reading at this moment*	0	30
Either way, after my brief spark of existence I become nothingness	just because there are pages you've already read, or pages you have yet to read, doesn't mean those pages don't exist	0	31
Either way, after my brief spark of existence I become nothingness	And all those pages will continue to exist, even after you've finished your book	0	32
Not only do I remember nothing; I AM nothing	What if time itself is an illusion, and we really do live forever?	0	24
Not only do I remember nothing; I AM nothing	"Now" is *the page you are reading at this moment*	0	29
Not only do I remember nothing; I AM nothing	just because there are pages you've already read, or pages you have yet to read, doesn't mean those pages don't exist	0	30
Not only do I remember nothing; I AM nothing	And all those pages will continue to exist, even after you've finished your book	0	31
To me, it is as if my life had never happened	What if time itself is an illusion, and we really do live forever?	0	23
To me, it is as if my life had never happened	"Now" is *the page you are reading at this moment*	0	28
To me, it is as if my life had never happened	just because there are pages you've already read, or pages you have yet to read, doesn't mean those pages don't exist	0	29
To me, it is as if my life had never happened	And all those pages will continue to exist, even after you've finished your book	0	30
Imagine the time before you were born	What if time itself is an illusion, and we really do live forever?	0	22
Imagine the time before you were born	"Now" is *the page you are reading at this moment*	0	27
Imagine the time before you were born	just because there are pages you've already read, or pages you have yet to read, doesn't mean those pages don't exist	0	28
Imagine the time before you were born	And all those pages will continue to exist, even after you've finished your book	0	29
Of course not	What if time itself is an illusion, and we really do live forever?	0	21
Of course not	"Now" is *the page you are reading at this moment*	0	26
Of course not	just because there are pages you've already read, or pages you have yet to read, doesn't mean those pages don't exist	0	27
Of course not	And all those pages will continue to exist, even after you've finished your book	0	28
You didn't exist	What if time itself is an illusion, and we really do live forever?	0	20
You didn't exist	"Now" is *the page you are reading at this moment*	0	25
You didn't exist	just because there are pages you've already read, or pages you have yet to read, doesn't mean those pages don't exist	0	26
You didn't exist	And all those pages will continue to exist, even after you've finished your book	0	27
This is the state that we return to after death--a state of nothingness similar to the state we were in before birth	What if time itself is an illusion, and we really do live forever?	0	19
This is the state that we return to after death--a state of nothingness similar to the state we were in before birth	"Now" is *the page you are reading at this moment*	0	24
This is the state that we return to after death--a state of nothingness similar to the state we were in before birth	just because there are pages you've already read, or pages you have yet to read, doesn't mean those pages don't exist	0	25
This is the state that we return to after death--a state of nothingness similar to the state we were in before birth	And all those pages will continue to exist, even after you've finished your book	0	26
When I die, I return to this state after a brief period of consciousness	What if time itself is an illusion, and we really do live forever?	0	18
When I die, I return to this state after a brief period of consciousness	"Now" is *the page you are reading at this moment*	0	23
When I die, I return to this state after a brief period of consciousness	just because there are pages you've already read, or pages you have yet to read, doesn't mean those pages don't exist	0	24
When I die, I return to this state after a brief period of consciousness	And all those pages will continue to exist, even after you've finished your book	0	25
I return to it permanently	What if time itself is an illusion, and we really do live forever?	0	17
I return to it permanently	"Now" is *the page you are reading at this moment*	0	22
